symbol,decision_date,target_21d,ret_5d,ret_21d,ret_63d,ret_126d,ret_252d,vol_21d,vol_63d,vol_126d,downside_vol_21d,downside_vol_63d,downside_vol_126d,max_drawdown_252d,dma_ratio_20,dma_ratio_50,dma_ratio_200,dist_to_52w_high,gap_proxy,range_proxy,avg_traded_value_20d,liquidity_percentile,beta_proxy,sector_relative_momentum,factor_momentum,factor_quality,factor_low_vol,factor_liquidity,factor_sector_strength,factor_size,factor_beta,sector_cat,market_cap_bucket_cat
360ONE,2025-01-31,-0.02451004713470628,-2.209325291220366,-2.0378878448251667,0.017226656450581454,0.09951735789760702,1.9344088797443617,0.133476112632389,-0.011561230040104849,0.1980351837096282,0.1039793794083777,-0.07963582112427305,0.14614493206961016,-0.6676612182600761,-2.415076837138789,-1.5526888367706295,0.5165916203647838,0.21084230681599567,-0.6122803104575655,0.46475565392603246,-0.3806473219908798,0.33044572066503713,0.0490653781517989,0.1628642661215652,-0.01308487770712554,1.1389682389499416,-0.05138581989860345,-0.12228636142188795,0.1628642661215652,-0.619773376827876,0.04906537815179887,0.0,0.0
3IINFOLTD,2025-01-31,-0.1895033462486787,0.9126973696105576,-0.4866057985470113,0.8170722748330824,-0.6145592453794972,-1.7669149001604876,1.0441627564669291,1.7463693823761168,1.0373081440558627,0.14680827983190592,0.06712361755176459,0.022908393856814122,2.0253450892055254,0.5254086893644521,0.549410392730788,-0.5363570455850765,-2.1414912578118472,-0.042964463018646724,1.2400229478357836,-0.6176781722402387,-0.9441306304715348,1.141809562752879,-0.08315544899735403,-0.22503112609081077,-1.6807324214742998,-1.1461449827204877,-0.8427771388240751,-0.08315544899735403,-0.619773376827876,1.1418095627528793,0.0,0.0
3MINDIA,2025-01-31,-0.13079477121996474,0.4650305534629038,0.5680155219070003,-0.8077040236752527,-0.7509150967221632,-0.55966863601367,-0.4262470808933496,-0.6405229163438676,-0.8814692755510798,-0.6099394480743467,-0.5540586415505663,-0.8509846179440059,-0.2423627255626301,0.41596178719025584,0.5000455990633332,-0.3142472597870598,-0.01253764256734123,-1.3263182623532896,-0.560760967509936,-0.5669188215730309,-0.33044572066503713,-0.8615547756824344,-0.6819245695488932,-0.7408713655104605,-0.38125779539835003,0.8610930736561655,-0.5730422313429943,-0.6819245695488932,-0.619773376827876,-0.8615547756824345,0.0,0.0
5PAISA,2025-01-31,-0.20243457090687744,0.4107840176219088,-0.9172508010520262,-1.0662119302022919,-0.31178980529447614,-1.1529547018374597,-0.35205279937050554,-0.7419406176471408,-0.1573019079804131,-0.5427060295090239,-0.6405447764378498,-0.4574118460877395,0.5960978148889857,-0.3146893435734943,-0.9943425019570288,-0.8447636804766551,-0.6749085982264117,-1.0156454843144276,0.20758126235878605,-0.6228669762701068,-1.1801632880894184,-0.1027046474872401,-0.6320343227641956,-0.6978908644077676,-1.0078668243898787,0.0881547853618069,-0.9039551344613038,-0.6320343227641956,-0.619773376827876,-0.10270464748724015,0.0,0.0
AARON,2025-01-31,-0.01092818620493885,-0.16357823422319925,0.41095062386289155,3.1350080528190674,1.9788681788596234,0.7339149507556827,0.22880103429108128,1.4496937903559586,0.7094231810797141,0.858742313444133,0.4911875768538013,0.13115014542152273,-1.1003986664657277,0.14562882532420177,0.9010494915297828,2.2346781238570905,1.0864632801592375,-1.4326834080969617,0.025027641747851034,-0.6251259073917048,-1.274576351136572,0.2615434140464535,3.1252108785610284,2.5389799054553683,0.627978111860402,-0.2500255641262233,-0.9472442648045677,3.1252108785610284,-0.619773376827876,0.26154341404645354,0.0,0.0
AARTIDRUGS,2025-01-31,-0.13566847557967454,-0.2962347404382949,-0.5104043341432412,-0.7372743806808187,-0.5349493768819935,-0.9170117139489712,-0.9712333611989554,-0.23775200243346345,-0.4452245206388155,-1.1822622921654893,-0.7785543058188338,-1.0538826916120838,0.32386348330107545,-0.6507393373300144,-0.4575360208609338,-0.8155568403576646,-0.5831137551202646,-0.26737700861636066,-0.9400369888013512,-0.6100498720064345,-0.7553045043772277,-0.7097847500433955,-0.6760960940400719,-0.7358501276096939,-0.46327878269149386,0.7024100163497707,-0.780887974643777,-0.6760960940400719,-0.619773376827876,-0.7097847500433956,0.0,0.0
AARTIIND,2025-01-31,-0.1411063638407919,0.18322949816892548,2.0429915849534406,-0.44963377005565786,-1.6224127461574889,-1.1416770099954694,0.04378698220468817,0.08620544900562097,0.30992981143831944,-0.21377450924534716,0.770376208147464,1.598060887137707,1.2149953278420706,1.2219414920243055,1.4961616906512545,-1.2244927557343506,-1.1917197793825376,2.5972402370992853,-0.4352836486933889,-0.26507193394193057,0.42485878371219066,0.0187113730239911,-1.141111178454946,-1.1364611214721774,-1.172208393846512,-0.031786865479219814,0.0662710772588859,-1.141111178454946,-0.619773376827876,0.018711373023991066,0.0,0.0
AARTIPHARM,2025-01-31,0.2465999486784709,-1.2647721996312247,-1.1282318596734515,-0.07072682130298764,0.16411703960132337,0.157372002172809,-0.5172870657251943,0.1883462473048882,0.2691707022154593,-0.26812268798056266,-0.31877514500097665,-0.2826098868030936,-0.4462853420457437,-1.7415642330184793,-0.45226137500729985,0.17964230743989368,0.6488455459738931,0.43320808342449096,0.31939800603217416,-0.5680491866700627,-0.37765225218861387,0.5043754550689152,0.03140266938163177,-0.12633918426580798,0.34515196291653893,-0.49948684572454216,-0.5772112071176003,0.03140266938163177,-0.619773376827876,0.5043754550689152,0.0,0.0
AARVI,2025-01-31,-0.23193079040503373,0.0357950054142412,0.1360517554758776,-0.35743549528716173,0.04983708358994506,-0.5280119664947494,0.1816520339841171,-0.22710267648905375,0.3420031991942096,0.13654845184769887,-0.2543045144452125,-0.42290204712985285,-0.2612396082760196,0.2055841114694897,-0.0751135016136811,-0.16119594391027922,0.17967574066553546,0.029985931799148043,1.8558833481705441,-0.6258898705519317,-1.5106090087544555,0.47402144994110745,0.03030017765538084,-0.12728898207018308,-0.48075455394393346,-0.47030795434927264,-0.9719284063991341,0.03030017765538084,-0.619773376827876,0.47402144994110745,0.0,0.0
AAVAS,2025-01-31,-0.020463568425969192,-0.2182834093742067,1.191636239491889,0.8857448185605122,0.7099585359502277,0.3502515709395613,-1.2050223384617063,-1.4468047583008667,-1.1715341333656977,-0.7643925653776495,-1.0705468323133422,-0.8684914025871023,-1.159362944322205,0.7393347850596196,1.311672362400868,0.5948179075464815,1.015184534164407,1.0853807889157272,-0.47927437369800424,-0.5330604137129092,-0.09441306304715352,-0.8008467654268189,1.1965805015556317,0.8774627675807875,0.38978222370262394,0.8103277684034887,-0.46271883272603453,1.1965805015556317,-0.619773376827876,-0.800846765426819,0.0,0.0
